menu,price,title
시로 블렌드,5500,쿠로이시로
카페오레,6000,쿠로이시로
크림소다,7500,쿠로이시로
레몬에이드,7000,쿠로이시로
로즈에이드,6500,쿠로이시로
아메리카노,4800,카페아라
콜드브루,5000,카페아라
디 카페인 콜드브루,5500,카페아라
카페라떼,5000,카페아라
크림 롱 블랙 (ICE),6000,카페아라
토피 넛 라떼,6100,스타벅스 수원영통점
아이스 토피 넛 라떼,6100,스타벅스 수원영통점
햇사과 주스 591ML,8900,스타벅스 수원영통점
민트 콜드 브루,8000,스타벅스 수원영통점
클래식 민트 모카,8000,스타벅스 수원영통점
오트 크림 스카치 콜드 브루,6000,스타벅스 수원영통점
오늘의 커피,4200,스타벅스 수원영통점
카푸치노,5000,스타벅스 수원영통점
카페 라떼,5000,스타벅스 수원영통점
카페 모카,5500,스타벅스 수원영통점
카페 아메리카노,4500,스타벅스 수원영통점
카라멜 마키아또,5900,스타벅스 수원영통점
화이트 초콜릿 모카,5900,스타벅스 수원영통점
스타벅스 돌체 라떼,5900,스타벅스 수원영통점
자바 칩 프라푸치노,6300,스타벅스 수원영통점
망고 바나나 블렌디드,6300,스타벅스 수원영통점
아이스 자몽 허니 블랙 티,5700,스타벅스 수원영통점
자몽 허니 블랙 티,5700,스타벅스 수원영통점
콜드 브루,4900,스타벅스 수원영통점
디카페인 카페 아메리카노,4800,스타벅스 수원영통점
디카페인 카페 라떼,5300,스타벅스 수원영통점
제주 유기농 말차로 만든 라떼,6100,스타벅스 수원영통점
돌체 콜드 브루,6000,스타벅스 수원영통점
토피 넛 라떼,6100,스타벅스 영통R점
아이스 토피 넛 라떼,6100,스타벅스 영통R점
햇사과 주스 591ML,8900,스타벅스 영통R점
민트 콜드 브루,8000,스타벅스 영통R점
클래식 민트 모카,8000,스타벅스 영통R점
오트 크림 스카치 콜드 브루,6000,스타벅스 영통R점
오늘의 커피,4200,스타벅스 영통R점
카푸치노,5000,스타벅스 영통R점
